"","FPR","TPR"
"1",0,0
"2",0,0.00307692307692308
"3",0,0.00615384615384615
"4",0,0.00923076923076923
"5",0,0.0123076923076923
"6",0,0.0153846153846154
"7",0,0.0184615384615385
"8",0,0.0215384615384615
"9",0,0.0246153846153846
"10",0,0.0276923076923077
"11",0,0.0307692307692308
"12",0,0.0338461538461538
"13",0,0.0369230769230769
"14",0,0.04
"15",0,0.0430769230769231
"16",0,0.0461538461538462
"17",0,0.0492307692307692
"18",0,0.0523076923076923
"19",0,0.0553846153846154
"20",0,0.0584615384615385
"21",0,0.0615384615384615
"22",0,0.0646153846153846
"23",0,0.0676923076923077
"24",0,0.0707692307692308
"25",0,0.0738461538461539
"26",0,0.0769230769230769
"27",0,0.08
"28",0,0.0830769230769231
"29",0,0.0861538461538462
"30",0,0.0892307692307692
"31",0,0.0923076923076923
"32",0,0.0953846153846154
"33",0,0.0984615384615385
"34",0,0.101538461538462
"35",0,0.104615384615385
"36",0,0.107692307692308
"37",0,0.110769230769231
"38",0,0.113846153846154
"39",0,0.116923076923077
"40",0,0.12
"41",0,0.123076923076923
"42",0,0.126153846153846
"43",0,0.129230769230769
"44",0,0.132307692307692
"45",0,0.135384615384615
"46",0,0.138461538461538
"47",0,0.141538461538462
"48",0,0.144615384615385
"49",0,0.147692307692308
"50",0,0.150769230769231
"51",0,0.153846153846154
"52",0,0.156923076923077
"53",0,0.16
"54",0,0.163076923076923
"55",0,0.166153846153846
"56",0,0.169230769230769
"57",0,0.172307692307692
"58",0,0.175384615384615
"59",0,0.178461538461538
"60",0,0.181538461538462
"61",0,0.184615384615385
"62",0,0.187692307692308
"63",0,0.190769230769231
"64",0,0.193846153846154
"65",0,0.196923076923077
"66",0,0.2
"67",0,0.203076923076923
"68",0,0.206153846153846
"69",0,0.209230769230769
"70",0,0.212307692307692
"71",0,0.215384615384615
"72",0,0.218461538461538
"73",0,0.221538461538462
"74",0,0.224615384615385
"75",0,0.227692307692308
"76",0,0.230769230769231
"77",0,0.233846153846154
"78",0,0.236923076923077
"79",0,0.24
"80",0,0.243076923076923
"81",0,0.246153846153846
"82",0,0.249230769230769
"83",0,0.252307692307692
"84",0,0.255384615384615
"85",0,0.258461538461538
"86",0,0.261538461538462
"87",0.00421940928270042,0.261538461538462
"88",0.00421940928270042,0.264615384615385
"89",0.00421940928270042,0.267692307692308
"90",0.00421940928270042,0.270769230769231
"91",0.00421940928270042,0.273846153846154
"92",0.00421940928270042,0.276923076923077
"93",0.00421940928270042,0.28
"94",0.00421940928270042,0.283076923076923
"95",0.00421940928270042,0.286153846153846
"96",0.00421940928270042,0.289230769230769
"97",0.00421940928270042,0.292307692307692
"98",0.00421940928270042,0.295384615384615
"99",0.00421940928270042,0.298461538461538
"100",0.00421940928270042,0.301538461538462
"101",0.00421940928270042,0.304615384615385
"102",0.00421940928270042,0.307692307692308
"103",0.00421940928270042,0.310769230769231
"104",0.00421940928270042,0.313846153846154
"105",0.00421940928270042,0.316923076923077
"106",0.00421940928270042,0.32
"107",0.00421940928270042,0.323076923076923
"108",0.00421940928270042,0.326153846153846
"109",0.00421940928270042,0.329230769230769
"110",0.00421940928270042,0.332307692307692
"111",0.00843881856540084,0.332307692307692
"112",0.0126582278481013,0.332307692307692
"113",0.0126582278481013,0.335384615384615
"114",0.0126582278481013,0.338461538461538
"115",0.0126582278481013,0.341538461538462
"116",0.0126582278481013,0.344615384615385
"117",0.0168776371308017,0.344615384615385
"118",0.0168776371308017,0.347692307692308
"119",0.0168776371308017,0.350769230769231
"120",0.0168776371308017,0.353846153846154
"121",0.0168776371308017,0.356923076923077
"122",0.0168776371308017,0.363076923076923
"123",0.0168776371308017,0.366153846153846
"124",0.0168776371308017,0.369230769230769
"125",0.0210970464135021,0.369230769230769
"126",0.0210970464135021,0.372307692307692
"127",0.0210970464135021,0.375384615384615
"128",0.0210970464135021,0.378461538461538
"129",0.0210970464135021,0.381538461538462
"130",0.0210970464135021,0.384615384615385
"131",0.0253164556962025,0.384615384615385
"132",0.0253164556962025,0.390769230769231
"133",0.0253164556962025,0.393846153846154
"134",0.0253164556962025,0.396923076923077
"135",0.0253164556962025,0.4
"136",0.029535864978903,0.4
"137",0.0337552742616034,0.4
"138",0.0337552742616034,0.403076923076923
"139",0.0337552742616034,0.406153846153846
"140",0.0337552742616034,0.409230769230769
"141",0.0337552742616034,0.412307692307692
"142",0.0337552742616034,0.415384615384615
"143",0.0337552742616034,0.418461538461538
"144",0.0337552742616034,0.424615384615385
"145",0.0337552742616034,0.427692307692308
"146",0.0337552742616034,0.430769230769231
"147",0.0337552742616034,0.433846153846154
"148",0.0337552742616034,0.436923076923077
"149",0.0337552742616034,0.44
"150",0.0337552742616034,0.443076923076923
"151",0.0337552742616034,0.446153846153846
"152",0.0379746835443038,0.449230769230769
"153",0.0379746835443038,0.452307692307692
"154",0.0379746835443038,0.455384615384615
"155",0.0379746835443038,0.458461538461538
"156",0.0379746835443038,0.461538461538462
"157",0.0379746835443038,0.464615384615385
"158",0.0379746835443038,0.467692307692308
"159",0.0421940928270042,0.467692307692308
"160",0.0464135021097046,0.467692307692308
"161",0.0506329113924051,0.467692307692308
"162",0.0506329113924051,0.470769230769231
"163",0.0548523206751055,0.470769230769231
"164",0.0548523206751055,0.473846153846154
"165",0.0548523206751055,0.476923076923077
"166",0.0548523206751055,0.48
"167",0.0590717299578059,0.48
"168",0.0590717299578059,0.483076923076923
"169",0.0590717299578059,0.486153846153846
"170",0.0590717299578059,0.489230769230769
"171",0.0590717299578059,0.492307692307692
